,title,author,name,timeRange,update_Interval,Raum,metadatacreated,license
121,Widmungstafel,"Werkhof Zürich Nord, Tiefbauamt, Tiefbau- und Entsorgungsdepartement",geo_widmungstafel,Laufende Nachführung,['jaehrlich'],Stadt Zürich,"['2021-04-14', '02:02:22.476506']",cc-zero
122,Gebietseinteilung Freiraumberatung,"Freiraumberatung, Grün Stadt Zürich, Tiefbau- und Entsorgungsdepartement",geo_gebietseinteilung_freiraumberatung,Laufende Nachführung,['sporadisch oder unregelmaessig'],Stadt Zürich,"['2021-07-10', '02:03:07.966742']",cc-zero
123,Verkehrsachsensystem Stadt Zuerich,"GIS-Zentrum, Geomatik + Vermessung, Tiefbau- und Entsorgungsdepartement",geo_verkehrsachsensystem_stadt_zuerich,Laufende Nachführung,['jaehrlich'],Stadt Zürich,"['2019-11-18', '09:19:19.585614']",cc-zero
124,Minergie-Anteile in neuerstellten und umgebauten Wohnungen seit 2000,"Statistik Stadt Zürich, Präsidialdepartement",bau_whg_minergie_neubau_umbau_jahr_od6973,"putn(MIN(Jahr),'4.') || '-' || putn(MAX(Jahr),'4.')",['jaehrlich'],Stadt Zürich,"['2021-07-02', '14:23:27.060568']",cc-zero
125,Altersklassen der Bewohnenden nach Gebäudeeigentum und Stadtquartieren in der Stadt Zürich seit 2008,"Statistik Stadt Zürich, Präsidialdepartement",bau_best_geb_ea_pers_altersgruppe_quartier_jahr_od6983,"putn(MIN(Jahr),'4.') || '-' || putn(MAX(Jahr),'4.')",['jaehrlich'],Stadt Zürich,"['2021-06-28', '18:46:43.725390']",cc-zero
126,Nationalität und Geburtsland der Bewohnenden nach Gebäudeeigentum und Stadtquartieren in der Stadt Zürich seit 2008,"Statistik Stadt Zürich, Präsidialdepartement",bau_best_geb_ea_pers_nat_gebland_quartier_jahr_od6984,"putn(MIN(Jahr),'4.') || '-' || putn(MAX(Jahr),'4.')",['jaehrlich'],Stadt Zürich,"['2021-06-28', '18:46:52.447773']",cc-zero
127,Wohndichte nach Eigentumsart in der Stadt Zürich nach Stadtquartieren seit 2008,"Statistik Stadt Zürich, Präsidialdepartement",bau_best_whg_wfl_pers_ea_quartier_jahr_od6982,2014-2020,['jaehrlich'],Stadt Zürich,"['2021-06-28', '18:46:55.408702']",cc-zero
128,Gebietseinteilung Gartendenkmalpflege,"Gartendenkmalpflege, Grün Stadt Zürich, Tiefbau- und Entsorgungsdepartement",geo_gebietseinteilung_gartendenkmalpflege,Laufende Nachführung,['sporadisch oder unregelmaessig'],Stadt Zürich,"['2021-07-10', '02:02:57.845655']",cc-zero
129,Russ (BC)-Immissionen (OGD) (kantonaler Datensatz),"Abteilung Luft, Klima und Strahlung, Amt für Abfall, Wasser, Energie und Luft, Kanton Zürich",ktzh_russ__bc__immissionen__ogd_,01.06.2021,['sporadisch oder unregelmaessig'],Kanton Zürich,"['2021-10-28', '03:04:06.106168']",cc-zero
130,"Kennzahlen zu  Kitas (Kindertagesstätten) der Stadt Zürich nach Schulkreis, seit 2006","Kontraktmanagement, Zentrale Verwaltung, Sozialdepartement",sd_zv_kitas_schulkreis,2006 - 2020,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:23:12.425872']",cc-zero
131,"Kennzahlen zu  Kitas (Kindertagesstätten) der Stadt Zürich nach Stadtquartier, seit 2014","Kontraktmanagement, Zentrale Verwaltung, Sozialdepartement",sd_zv_kitas_stadtquartier,2014 - 2020,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:24:09.818897']",cc-zero
132,"Migrationsstatus der Wohnbevölkerung, seit 2010",Strukturerhebung,bfs_bev_migrationsstatus_alter_quartier_seit2010_od5307,2010–2019,['jaehrlich'],Stadt Zürich,"['2020-03-17', '20:55:23.962948']",cc-zero
