,Id,POITypeId,POIName_de,address_city,address_kantoncode,address_zip,address_countrycode,address_street,address_gemeindeid,geopoint,poityp_de
75337,003BE_00329131,003BE,"Briefeinwurf Zürich, Bellariastrasse",Zürich,ZH,8038,CH,Bellariastrasse 45,261,"47.35173954,8.53051081",Briefeinwurf
75362,003BE_00329145,003BE,"Briefeinwurf Zürich, Bushaltestelle Sihlweidstrasse",Zürich,ZH,8041,CH,Leimbachstrasse 215,261,"47.32637547,8.51501051",Briefeinwurf
75363,003BE_00329148,003BE,"Briefeinwurf Zürich, Alte Kalchbühlstrasse",Zürich,ZH,8038,CH,Alte Kalchbühlstrasse 15,261,"47.34021777,8.53020093",Briefeinwurf
75364,003BE_00329152,003BE,"Briefeinwurf Zürich, Tramendstation Wollishofen",Zürich,ZH,8038,CH,Albisstrasse 105,261,"47.33835931,8.53020525",Briefeinwurf
75365,003BE_00329155,003BE,"Briefeinwurf Zürich, Ecke Widmerstrasse",Zürich,ZH,8038,CH,Kilchbergstrasse 100,261,"47.33791807,8.53613769",Briefeinwurf
75366,003BE_00329159,003BE,"Briefeinwurf Zürich, Bahnhof Zürich Wollishofen",Zürich,ZH,8038,CH,Seestrasse 331,261,"47.34764908,8.53349101",Briefeinwurf
75480,003BE_00328788,003BE,"Briefeinwurf Zürich, Shopville Passage Bahnhofstrasse",Zürich,ZH,8001,CH,Bahnhofpassage,261,"47.37739822,8.54037614",Briefeinwurf
75513,003BE_00328814,003BE,"Briefeinwurf Zürich, Rennweg",Zürich,ZH,8001,CH,Rennweg 25,261,"47.37297998,8.53950627",Briefeinwurf
75514,003BE_00328818,003BE,"Briefeinwurf Zürich, Gotthardstrasse",Zürich,ZH,8002,CH,Gotthardstrasse 48,261,"47.36509724,8.5337605",Briefeinwurf
75542,003BE_00328825,003BE,"Briefeinwurf Zürich, Talstrasse",Zürich,ZH,8001,CH,Talstrasse 11,261,"47.36824319,8.53855449",Briefeinwurf
76225,003BE_00332535,003BE,"Briefeinwurf Zürich, Paradeplatz",Zürich,ZH,8001,CH,Paradeplatz 2,261,"47.36960845,8.53876537",Briefeinwurf
76265,003BE_00333107,003BE,"Briefeinwurf Zürich, Trottenstrasse",Zürich,ZH,8037,CH,Trottenstrasse 84,261,"47.39619371,8.51805377",Briefeinwurf
